subject	predicate	object	evidence_class
HRA temp-oligo47	HRA has_marker_component	HGNC 20707	HRA bn-7cffb6116b69d75c8e347a22897076c
HRA temp-oligo47	HRA has_marker_component	HGNC 51662	HRA bn-7cffb6116b69d75c8e347a22897076c
HRA temp-oligo47	HRA has_marker_component	HGNC 9086	HRA bn-7cffb6116b69d75c8e347a22897076c
CL 0009072	HRA has_marker_component	HGNC 11529	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 9666	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 1452	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 6427	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 12692	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 10617	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 2481	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 24757	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 11141	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 6442	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 360	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 4942	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 8028	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 3673	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0009072	HRA has_marker_component	HGNC 1799	HRA bn-6a895705b56d79edae77a24ebb3a0fc7
CL 0000540	HRA has_marker_component	HGNC 4093	HRA bn-29d9d25fdf028c0459367d33159471ee
CL 0000540	HRA has_marker_component	HGNC 11743	HRA bn-29d9d25fdf028c0459367d33159471ee
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 24222	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 3318	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 11529	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 12441	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 1748	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 3816	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 26344	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 4027	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 21399	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-airway-deuterosomal-cell	HRA has_marker_component	HGNC 20657	HRA bn-6a2ce550d841e43b109568cc34c6b76f
HRA temp-splat344	HRA has_marker_component	HGNC 19191	HRA bn-d94124d894e3a295962a7b98c7b440e3
HRA temp-splat344	HRA has_marker_component	HGNC 19087	HRA bn-d94124d894e3a295962a7b98c7b440e3
CL 1001607	HRA has_marker_component	HGNC 2186	HRA bn-f66d147ffaf018cacd60a52a094b63d5
CL 1001607	HRA has_marker_component	HGNC 2200	HRA bn-f66d147ffaf018cacd60a52a094b63d5
HRA temp-reticular-cell-of-splenic-sinusoid	HRA has_marker_component	HGNC 2202	HRA bn-ef23f1a8153265576378dc80c773df14
HRA temp-reticular-cell-of-splenic-sinusoid	HRA has_marker_component	HGNC 6486	HRA bn-ef23f1a8153265576378dc80c773df14
HRA temp-reticular-cell-of-splenic-sinusoid	HRA has_marker_component	HGNC 2194	HRA bn-ef23f1a8153265576378dc80c773df14
HRA temp-reticular-cell-of-splenic-sinusoid	HRA has_marker_component	HGNC 2195	HRA bn-ef23f1a8153265576378dc80c773df14
HRA temp-dlct6b101	HRA has_marker_component	HGNC 40401	HRA bn-99926f083d2866af8b333883c893812f
HRA temp-prostate-perictye	HRA has_marker_component	HGNC 29836	HRA bn-30e618a82d5497ce5bdccdd3ba6ecd46
HRA temp-prostate-perictye	HRA has_marker_component	HGNC 130	HRA bn-30e618a82d5497ce5bdccdd3ba6ecd46
HRA temp-prostate-perictye	HRA has_marker_component	HGNC 4278	HRA bn-30e618a82d5497ce5bdccdd3ba6ecd46
PCL 0015123	HRA has_marker_component	HGNC 26587	HRA bn-a413fc81c0e4c4a3bc8c08feabb5fd56
PCL 0015123	HRA has_marker_component	HGNC 26708	HRA bn-a413fc81c0e4c4a3bc8c08feabb5fd56
CL 0002038	HRA has_marker_component	HGNC 3797	HRA bn-514ea54505abdcbb124d26aa3d3350b9
CL 0002038	HRA has_marker_component	HGNC 7981	HRA bn-514ea54505abdcbb124d26aa3d3350b9
